Code,Definition
O36.5120,"Maternal care for known or suspected placental insufficiency, second trimester, not applicable or unspecified"
O36.5121,"Maternal care for known or suspected placental insufficiency, second trimester, fetus 1"
O36.5122,"Maternal care for known or suspected placental insufficiency, second trimester, fetus 2"
O36.5123,"Maternal care for known or suspected placental insufficiency, second trimester, fetus 3"
O36.5124,"Maternal care for known or suspected placental insufficiency, second trimester, fetus 4"
O36.5125,"Maternal care for known or suspected placental insufficiency, second trimester, fetus 5"
O36.5129,"Maternal care for known or suspected placental insufficiency, second trimester, other fetus"
O36.5130,"Maternal care for known or suspected placental insufficiency, third trimester, not applicable or unspecified"
O36.5131,"Maternal care for known or suspected placental insufficiency, third trimester, fetus 1"
O36.5132,"Maternal care for known or suspected placental insufficiency, third trimester, fetus 2"
O36.5133,"Maternal care for known or suspected placental insufficiency, third trimester, fetus 3"
O36.5134,"Maternal care for known or suspected placental insufficiency, third trimester, fetus 4"
O36.5135,"Maternal care for known or suspected placental insufficiency, third trimester, fetus 5"
O36.5139,"Maternal care for known or suspected placental insufficiency, third trimester, other fetus"
O36.5190,"Maternal care for known or suspected placental insufficiency, unspecified trimester, not applicable or unspecified"
O36.5191,"Maternal care for known or suspected placental insufficiency, unspecified trimester, fetus 1"
O36.5192,"Maternal care for known or suspected placental insufficiency, unspecified trimester, fetus 2"
O36.5193,"Maternal care for known or suspected placental insufficiency, unspecified trimester, fetus 3"
O36.5194,"Maternal care for known or suspected placental insufficiency, unspecified trimester, fetus 4"
O36.5195,"Maternal care for known or suspected placental insufficiency, unspecified trimester, fetus 5"
O36.5199,"Maternal care for known or suspected placental insufficiency, unspecified trimester, other fetus"
O36.5910,"Maternal care for other known or suspected poor fetal growth, first trimester, not applicable or unspecified"
O36.5911,"Maternal care for other known or suspected poor fetal growth, first trimester, fetus 1"
O36.5912,"Maternal care for other known or suspected poor fetal growth, first trimester, fetus 2"
O36.5913,"Maternal care for other known or suspected poor fetal growth, first trimester, fetus 3"
O36.5914,"Maternal care for other known or suspected poor fetal growth, first trimester, fetus 4"
O36.5915,"Maternal care for other known or suspected poor fetal growth, first trimester, fetus 5"
O36.5919,"Maternal care for other known or suspected poor fetal growth, first trimester, other fetus"
O36.5920,"Maternal care for other known or suspected poor fetal growth, second trimester, not applicable or unspecified"
O36.5921,"Maternal care for other known or suspected poor fetal growth, second trimester, fetus 1"
O36.5922,"Maternal care for other known or suspected poor fetal growth, second trimester, fetus 2"
O36.5923,"Maternal care for other known or suspected poor fetal growth, second trimester, fetus 3"
O36.5924,"Maternal care for other known or suspected poor fetal growth, second trimester, fetus 4"
O36.5925,"Maternal care for other known or suspected poor fetal growth, second trimester, fetus 5"
O36.5929,"Maternal care for other known or suspected poor fetal growth, second trimester, other fetus"
O36.5930,"Maternal care for other known or suspected poor fetal growth, third trimester, not applicable or unspecified"
O36.5931,"Maternal care for other known or suspected poor fetal growth, third trimester, fetus 1"
O36.5932,"Maternal care for other known or suspected poor fetal growth, third trimester, fetus 2"
O36.5933,"Maternal care for other known or suspected poor fetal growth, third trimester, fetus 3"
O36.5934,"Maternal care for other known or suspected poor fetal growth, third trimester, fetus 4"
O36.5935,"Maternal care for other known or suspected poor fetal growth, third trimester, fetus 5"
O36.5939,"Maternal care for other known or suspected poor fetal growth, third trimester, other fetus"
O36.5990,"Maternal care for other known or suspected poor fetal growth, unspecified trimester, not applicable or unspecified"
O36.5991,"Maternal care for other known or suspected poor fetal growth, unspecified trimester, fetus 1"
O36.5992,"Maternal care for other known or suspected poor fetal growth, unspecified trimester, fetus 2"
O36.5993,"Maternal care for other known or suspected poor fetal growth, unspecified trimester, fetus 3"
O36.5994,"Maternal care for other known or suspected poor fetal growth, unspecified trimester, fetus 4"
O36.5995,"Maternal care for other known or suspected poor fetal growth, unspecified trimester, fetus 5"
O36.5999,"Maternal care for other known or suspected poor fetal growth, unspecified trimester, other fetus"
O36.60X0,"Maternal care for excessive fetal growth, unspecified trimester, not applicable or unspecified"
O36.60X1,"Maternal care for excessive fetal growth, unspecified trimester, fetus 1"
O36.60X2,"Maternal care for excessive fetal growth, unspecified trimester, fetus 2"
O36.60X3,"Maternal care for excessive fetal growth, unspecified trimester, fetus 3"
O36.60X4,"Maternal care for excessive fetal growth, unspecified trimester, fetus 4"
O36.60X5,"Maternal care for excessive fetal growth, unspecified trimester, fetus 5"
O36.60X9,"Maternal care for excessive fetal growth, unspecified trimester, other fetus"
O36.61X0,"Maternal care for excessive fetal growth, first trimester, not applicable or unspecified"
O36.61X1,"Maternal care for excessive fetal growth, first trimester, fetus 1"
O36.61X2,"Maternal care for excessive fetal growth, first trimester, fetus 2"
O36.61X3,"Maternal care for excessive fetal growth, first trimester, fetus 3"
O36.61X4,"Maternal care for excessive fetal growth, first trimester, fetus 4"
O36.61X5,"Maternal care for excessive fetal growth, first trimester, fetus 5"
O36.61X9,"Maternal care for excessive fetal growth, first trimester, other fetus"
O36.62X0,"Maternal care for excessive fetal growth, second trimester, not applicable or unspecified"
O36.62X1,"Maternal care for excessive fetal growth, second trimester, fetus 1"
O36.62X2,"Maternal care for excessive fetal growth, second trimester, fetus 2"
O36.62X3,"Maternal care for excessive fetal growth, second trimester, fetus 3"
O36.62X4,"Maternal care for excessive fetal growth, second trimester, fetus 4"
O36.62X5,"Maternal care for excessive fetal growth, second trimester, fetus 5"
O36.62X9,"Maternal care for excessive fetal growth, second trimester, other fetus"
O36.63X0,"Maternal care for excessive fetal growth, third trimester, not applicable or unspecified"
O36.63X1,"Maternal care for excessive fetal growth, third trimester, fetus 1"
O36.63X2,"Maternal care for excessive fetal growth, third trimester, fetus 2"
O36.63X3,"Maternal care for excessive fetal growth, third trimester, fetus 3"
O36.63X4,"Maternal care for excessive fetal growth, third trimester, fetus 4"
O36.63X5,"Maternal care for excessive fetal growth, third trimester, fetus 5"
O36.63X9,"Maternal care for excessive fetal growth, third trimester, other fetus"
O36.70X0,"Maternal care for viable fetus in abdominal pregnancy, unspecified trimester, not applicable or unspecified"
O36.70X1,"Maternal care for viable fetus in abdominal pregnancy, unspecified trimester, fetus 1"
O36.70X2,"Maternal care for viable fetus in abdominal pregnancy, unspecified trimester, fetus 2"
O36.70X3,"Maternal care for viable fetus in abdominal pregnancy, unspecified trimester, fetus 3"
O36.70X4,"Maternal care for viable fetus in abdominal pregnancy, unspecified trimester, fetus 4"
O36.70X5,"Maternal care for viable fetus in abdominal pregnancy, unspecified trimester, fetus 5"
O36.70X9,"Maternal care for viable fetus in abdominal pregnancy, unspecified trimester, other fetus"
O36.71X0,"Maternal care for viable fetus in abdominal pregnancy, first trimester, not applicable or unspecified"
O36.71X1,"Maternal care for viable fetus in abdominal pregnancy, first trimester, fetus 1"
O36.71X2,"Maternal care for viable fetus in abdominal pregnancy, first trimester, fetus 2"
O36.71X3,"Maternal care for viable fetus in abdominal pregnancy, first trimester, fetus 3"
O36.71X4,"Maternal care for viable fetus in abdominal pregnancy, first trimester, fetus 4"
O36.71X5,"Maternal care for viable fetus in abdominal pregnancy, first trimester, fetus 5"
O36.71X9,"Maternal care for viable fetus in abdominal pregnancy, first trimester, other fetus"
O36.72X0,"Maternal care for viable fetus in abdominal pregnancy, second trimester, not applicable or unspecified"
O36.72X1,"Maternal care for viable fetus in abdominal pregnancy, second trimester, fetus 1"
O36.72X2,"Maternal care for viable fetus in abdominal pregnancy, second trimester, fetus 2"
O36.72X3,"Maternal care for viable fetus in abdominal pregnancy, second trimester, fetus 3"
O36.72X4,"Maternal care for viable fetus in abdominal pregnancy, second trimester, fetus 4"
O36.72X5,"Maternal care for viable fetus in abdominal pregnancy, second trimester, fetus 5"
O36.72X9,"Maternal care for viable fetus in abdominal pregnancy, second trimester, other fetus"
O36.73X0,"Maternal care for viable fetus in abdominal pregnancy, third trimester, not applicable or unspecified"
O36.73X1,"Maternal care for viable fetus in abdominal pregnancy, third trimester, fetus 1"
O36.73X2,"Maternal care for viable fetus in abdominal pregnancy, third trimester, fetus 2"
O36.73X3,"Maternal care for viable fetus in abdominal pregnancy, third trimester, fetus 3"
O36.73X4,"Maternal care for viable fetus in abdominal pregnancy, third trimester, fetus 4"
O36.73X5,"Maternal care for viable fetus in abdominal pregnancy, third trimester, fetus 5"
O36.73X9,"Maternal care for viable fetus in abdominal pregnancy, third trimester, other fetus"
O36.80X0,"Pregnancy with inconclusive fetal viability, not applicable or unspecified"
O36.80X1,"Pregnancy with inconclusive fetal viability, fetus 1"
O36.80X2,"Pregnancy with inconclusive fetal viability, fetus 2"
O36.80X3,"Pregnancy with inconclusive fetal viability, fetus 3"
O36.80X4,"Pregnancy with inconclusive fetal viability, fetus 4"
O36.80X5,"Pregnancy with inconclusive fetal viability, fetus 5"
O36.80X9,"Pregnancy with inconclusive fetal viability, other fetus"
O36.8120,"Decreased fetal movements, second trimester, not applicable or unspecified"
O36.8121,"Decreased fetal movements, second trimester, fetus 1"
O36.8122,"Decreased fetal movements, second trimester, fetus 2"
O36.8123,"Decreased fetal movements, second trimester, fetus 3"
O36.8124,"Decreased fetal movements, second trimester, fetus 4"
O36.8125,"Decreased fetal movements, second trimester, fetus 5"
O36.8129,"Decreased fetal movements, second trimester, other fetus"
O36.8130,"Decreased fetal movements, third trimester, not applicable or unspecified"
O36.8131,"Decreased fetal movements, third trimester, fetus 1"
O36.8132,"Decreased fetal movements, third trimester, fetus 2"
O36.8133,"Decreased fetal movements, third trimester, fetus 3"
O36.8134,"Decreased fetal movements, third trimester, fetus 4"
O36.8135,"Decreased fetal movements, third trimester, fetus 5"
O36.8139,"Decreased fetal movements, third trimester, other fetus"
O36.8190,"Decreased fetal movements, unspecified trimester, not applicable or unspecified"
O36.8191,"Decreased fetal movements, unspecified trimester, fetus 1"
O36.8192,"Decreased fetal movements, unspecified trimester, fetus 2"
O36.8193,"Decreased fetal movements, unspecified trimester, fetus 3"
O36.8194,"Decreased fetal movements, unspecified trimester, fetus 4"
O36.8195,"Decreased fetal movements, unspecified trimester, fetus 5"
O36.8199,"Decreased fetal movements, unspecified trimester, other fetus"
O36.8210,"Fetal anemia and thrombocytopenia, first trimester, not applicable or unspecified"
O36.8211,"Fetal anemia and thrombocytopenia, first trimester, fetus 1"
O36.8212,"Fetal anemia and thrombocytopenia, first trimester, fetus 2"
O36.8213,"Fetal anemia and thrombocytopenia, first trimester, fetus 3"
O36.8214,"Fetal anemia and thrombocytopenia, first trimester, fetus 4"
O36.8215,"Fetal anemia and thrombocytopenia, first trimester, fetus 5"
O36.8219,"Fetal anemia and thrombocytopenia, first trimester, other fetus"
O36.8220,"Fetal anemia and thrombocytopenia, second trimester, not applicable or unspecified"
O36.8221,"Fetal anemia and thrombocytopenia, second trimester, fetus 1"
O36.8222,"Fetal anemia and thrombocytopenia, second trimester, fetus 2"
O36.8223,"Fetal anemia and thrombocytopenia, second trimester, fetus 3"
O36.8224,"Fetal anemia and thrombocytopenia, second trimester, fetus 4"
O36.8225,"Fetal anemia and thrombocytopenia, second trimester, fetus 5"
O36.8229,"Fetal anemia and thrombocytopenia, second trimester, other fetus"
O36.8230,"Fetal anemia and thrombocytopenia, third trimester, not applicable or unspecified"
O36.8231,"Fetal anemia and thrombocytopenia, third trimester, fetus 1"
O36.8232,"Fetal anemia and thrombocytopenia, third trimester, fetus 2"
O36.8233,"Fetal anemia and thrombocytopenia, third trimester, fetus 3"
O36.8234,"Fetal anemia and thrombocytopenia, third trimester, fetus 4"
O36.8235,"Fetal anemia and thrombocytopenia, third trimester, fetus 5"
O36.8239,"Fetal anemia and thrombocytopenia, third trimester, other fetus"
O36.8290,"Fetal anemia and thrombocytopenia, unspecified trimester, not applicable or unspecified"
O36.8291,"Fetal anemia and thrombocytopenia, unspecified trimester, fetus 1"
O36.8292,"Fetal anemia and thrombocytopenia, unspecified trimester, fetus 2"
O36.8293,"Fetal anemia and thrombocytopenia, unspecified trimester, fetus 3"
O36.8294,"Fetal anemia and thrombocytopenia, unspecified trimester, fetus 4"
O36.8295,"Fetal anemia and thrombocytopenia, unspecified trimester, fetus 5"
O36.8299,"Fetal anemia and thrombocytopenia, unspecified trimester, other fetus"
O36.8310,"Maternal care for abnormalities of the fetal heart rate or rhythm, first trimester, not applicable or unspecified"
O36.8311,"Maternal care for abnormalities of the fetal heart rate or rhythm, first trimester, fetus 1"
O36.8312,"Maternal care for abnormalities of the fetal heart rate or rhythm, first trimester, fetus 2"
O36.8313,"Maternal care for abnormalities of the fetal heart rate or rhythm, first trimester, fetus 3"
O36.8314,"Maternal care for abnormalities of the fetal heart rate or rhythm, first trimester, fetus 4"
O36.8315,"Maternal care for abnormalities of the fetal heart rate or rhythm, first trimester, fetus 5"
O36.8319,"Maternal care for abnormalities of the fetal heart rate or rhythm, first trimester, other fetus"
O36.8320,"Maternal care for abnormalities of the fetal heart rate or rhythm, second trimester, not applicable or unspecified"
O36.8321,"Maternal care for abnormalities of the fetal heart rate or rhythm, second trimester, fetus 1"
O36.8322,"Maternal care for abnormalities of the fetal heart rate or rhythm, second trimester, fetus 2"
O36.8323,"Maternal care for abnormalities of the fetal heart rate or rhythm, second trimester, fetus 3"
O36.8324,"Maternal care for abnormalities of the fetal heart rate or rhythm, second trimester, fetus 4"
O36.8325,"Maternal care for abnormalities of the fetal heart rate or rhythm, second trimester, fetus 5"
O36.8329,"Maternal care for abnormalities of the fetal heart rate or rhythm, second trimester, other fetus"
O36.8330,"Maternal care for abnormalities of the fetal heart rate or rhythm, third trimester, not applicable or unspecified"
O36.8331,"Maternal care for abnormalities of the fetal heart rate or rhythm, third trimester, fetus 1"
O36.8332,"Maternal care for abnormalities of the fetal heart rate or rhythm, third trimester, fetus 2"
O36.8333,"Maternal care for abnormalities of the fetal heart rate or rhythm, third trimester, fetus 3"
O36.8334,"Maternal care for abnormalities of the fetal heart rate or rhythm, third trimester, fetus 4"
O36.8335,"Maternal care for abnormalities of the fetal heart rate or rhythm, third trimester, fetus 5"
O36.8339,"Maternal care for abnormalities of the fetal heart rate or rhythm, third trimester, other fetus"
O36.8390,"Maternal care for abnormalities of the fetal heart rate or rhythm, unspecified trimester, not applicable or unspecified"
O36.8391,"Maternal care for abnormalities of the fetal heart rate or rhythm, unspecified trimester, fetus 1"
O36.8392,"Maternal care for abnormalities of the fetal heart rate or rhythm, unspecified trimester, fetus 2"
O36.8393,"Maternal care for abnormalities of the fetal heart rate or rhythm, unspecified trimester, fetus 3"
O36.8394,"Maternal care for abnormalities of the fetal heart rate or rhythm, unspecified trimester, fetus 4"
O36.8395,"Maternal care for abnormalities of the fetal heart rate or rhythm, unspecified trimester, fetus 5"
O36.8399,"Maternal care for abnormalities of the fetal heart rate or rhythm, unspecified trimester, other fetus"
O36.8910,"Maternal care for other specified fetal problems, first trimester, not applicable or unspecified"
O36.8911,"Maternal care for other specified fetal problems, first trimester, fetus 1"
O36.8912,"Maternal care for other specified fetal problems, first trimester, fetus 2"
O36.8913,"Maternal care for other specified fetal problems, first trimester, fetus 3"
O36.8914,"Maternal care for other specified fetal problems, first trimester, fetus 4"
O36.8915,"Maternal care for other specified fetal problems, first trimester, fetus 5"
O36.8919,"Maternal care for other specified fetal problems, first trimester, other fetus"
O36.8920,"Maternal care for other specified fetal problems, second trimester, not applicable or unspecified"
O36.8921,"Maternal care for other specified fetal problems, second trimester, fetus 1"
O36.8922,"Maternal care for other specified fetal problems, second trimester, fetus 2"
O36.8923,"Maternal care for other specified fetal problems, second trimester, fetus 3"
O36.8924,"Maternal care for other specified fetal problems, second trimester, fetus 4"
O36.8925,"Maternal care for other specified fetal problems, second trimester, fetus 5"
O36.8929,"Maternal care for other specified fetal problems, second trimester, other fetus"
O36.8930,"Maternal care for other specified fetal problems, third trimester, not applicable or unspecified"
O36.8931,"Maternal care for other specified fetal problems, third trimester, fetus 1"
O36.8932,"Maternal care for other specified fetal problems, third trimester, fetus 2"
O36.8933,"Maternal care for other specified fetal problems, third trimester, fetus 3"
O36.8934,"Maternal care for other specified fetal problems, third trimester, fetus 4"
O36.8935,"Maternal care for other specified fetal problems, third trimester, fetus 5"
O36.8939,"Maternal care for other specified fetal problems, third trimester, other fetus"
O36.8990,"Maternal care for other specified fetal problems, unspecified trimester, not applicable or unspecified"
O36.8991,"Maternal care for other specified fetal problems, unspecified trimester, fetus 1"
O36.8992,"Maternal care for other specified fetal problems, unspecified trimester, fetus 2"
O36.8993,"Maternal care for other specified fetal problems, unspecified trimester, fetus 3"
O36.8994,"Maternal care for other specified fetal problems, unspecified trimester, fetus 4"
O36.8995,"Maternal care for other specified fetal problems, unspecified trimester, fetus 5"
O36.8999,"Maternal care for other specified fetal problems, unspecified trimester, other fetus"
O36.90X0,"Maternal care for fetal problem, unspecified, unspecified trimester, not applicable or unspecified"
O36.90X1,"Maternal care for fetal problem, unspecified, unspecified trimester, fetus 1"
O36.90X2,"Maternal care for fetal problem, unspecified, unspecified trimester, fetus 2"
O36.90X3,"Maternal care for fetal problem, unspecified, unspecified trimester, fetus 3"
O36.90X4,"Maternal care for fetal problem, unspecified, unspecified trimester, fetus 4"
O36.90X5,"Maternal care for fetal problem, unspecified, unspecified trimester, fetus 5"
O36.90X9,"Maternal care for fetal problem, unspecified, unspecified trimester, other fetus"
O36.91X0,"Maternal care for fetal problem, unspecified, first trimester, not applicable or unspecified"
O36.91X1,"Maternal care for fetal problem, unspecified, first trimester, fetus 1"
O36.91X2,"Maternal care for fetal problem, unspecified, first trimester, fetus 2"
O36.91X3,"Maternal care for fetal problem, unspecified, first trimester, fetus 3"
O36.91X4,"Maternal care for fetal problem, unspecified, first trimester, fetus 4"
O36.91X5,"Maternal care for fetal problem, unspecified, first trimester, fetus 5"
O36.91X9,"Maternal care for fetal problem, unspecified, first trimester, other fetus"
O36.92X0,"Maternal care for fetal problem, unspecified, second trimester, not applicable or unspecified"
O36.92X1,"Maternal care for fetal problem, unspecified, second trimester, fetus 1"
O36.92X2,"Maternal care for fetal problem, unspecified, second trimester, fetus 2"
O36.92X3,"Maternal care for fetal problem, unspecified, second trimester, fetus 3"
O36.92X4,"Maternal care for fetal problem, unspecified, second trimester, fetus 4"
O36.92X5,"Maternal care for fetal problem, unspecified, second trimester, fetus 5"
O36.92X9,"Maternal care for fetal problem, unspecified, second trimester, other fetus"
O36.93X0,"Maternal care for fetal problem, unspecified, third trimester, not applicable or unspecified"
O36.93X1,"Maternal care for fetal problem, unspecified, third trimester, fetus 1"
O36.93X2,"Maternal care for fetal problem, unspecified, third trimester, fetus 2"
O36.93X3,"Maternal care for fetal problem, unspecified, third trimester, fetus 3"
O36.93X4,"Maternal care for fetal problem, unspecified, third trimester, fetus 4"
O36.93X5,"Maternal care for fetal problem, unspecified, third trimester, fetus 5"
O36.93X9,"Maternal care for fetal problem, unspecified, third trimester, other fetus"
O40.1XX0,"Polyhydramnios, first trimester, not applicable or unspecified"
O40.1XX1,"Polyhydramnios, first trimester, fetus 1"
O40.1XX2,"Polyhydramnios, first trimester, fetus 2"
O40.1XX3,"Polyhydramnios, first trimester, fetus 3"
O40.1XX4,"Polyhydramnios, first trimester, fetus 4"
O40.1XX5,"Polyhydramnios, first trimester, fetus 5"
O40.1XX9,"Polyhydramnios, first trimester, other fetus"
O40.2XX0,"Polyhydramnios, second trimester, not applicable or unspecified"
O40.2XX1,"Polyhydramnios, second trimester, fetus 1"
O40.2XX2,"Polyhydramnios, second trimester, fetus 2"
O40.2XX3,"Polyhydramnios, second trimester, fetus 3"
O40.2XX4,"Polyhydramnios, second trimester, fetus 4"
O40.2XX5,"Polyhydramnios, second trimester, fetus 5"
O40.2XX9,"Polyhydramnios, second trimester, other fetus"
O40.3XX0,"Polyhydramnios, third trimester, not applicable or unspecified"
O40.3XX1,"Polyhydramnios, third trimester, fetus 1"
O40.3XX2,"Polyhydramnios, third trimester, fetus 2"
O40.3XX3,"Polyhydramnios, third trimester, fetus 3"
O40.3XX4,"Polyhydramnios, third trimester, fetus 4"
O40.3XX5,"Polyhydramnios, third trimester, fetus 5"
O40.3XX9,"Polyhydramnios, third trimester, other fetus"
O40.9XX0,"Polyhydramnios, unspecified trimester, not applicable or unspecified"
O40.9XX1,"Polyhydramnios, unspecified trimester, fetus 1"
O40.9XX2,"Polyhydramnios, unspecified trimester, fetus 2"
O40.9XX3,"Polyhydramnios, unspecified trimester, fetus 3"
O40.9XX4,"Polyhydramnios, unspecified trimester, fetus 4"
O40.9XX5,"Polyhydramnios, unspecified trimester, fetus 5"
O40.9XX9,"Polyhydramnios, unspecified trimester, other fetus"
O41.00X0,"Oligohydramnios, unspecified trimester, not applicable or unspecified"
O41.00X1,"Oligohydramnios, unspecified trimester, fetus 1"
O41.00X2,"Oligohydramnios, unspecified trimester, fetus 2"
O41.00X3,"Oligohydramnios, unspecified trimester, fetus 3"
O41.00X4,"Oligohydramnios, unspecified trimester, fetus 4"
O41.00X5,"Oligohydramnios, unspecified trimester, fetus 5"
O41.00X9,"Oligohydramnios, unspecified trimester, other fetus"
O41.01X0,"Oligohydramnios, first trimester, not applicable or unspecified"
O41.01X1,"Oligohydramnios, first trimester, fetus 1"
O41.01X2,"Oligohydramnios, first trimester, fetus 2"
O41.01X3,"Oligohydramnios, first trimester, fetus 3"
O41.01X4,"Oligohydramnios, first trimester, fetus 4"
O41.01X5,"Oligohydramnios, first trimester, fetus 5"
O41.01X9,"Oligohydramnios, first trimester, other fetus"
O41.02X0,"Oligohydramnios, second trimester, not applicable or unspecified"
O41.02X1,"Oligohydramnios, second trimester, fetus 1"
O41.02X2,"Oligohydramnios, second trimester, fetus 2"
O41.02X3,"Oligohydramnios, second trimester, fetus 3"
O41.02X4,"Oligohydramnios, second trimester, fetus 4"
O41.02X5,"Oligohydramnios, second trimester, fetus 5"
O41.02X9,"Oligohydramnios, second trimester, other fetus"
O41.03X0,"Oligohydramnios, third trimester, not applicable or unspecified"
O41.03X1,"Oligohydramnios, third trimester, fetus 1"
O41.03X2,"Oligohydramnios, third trimester, fetus 2"
O41.03X3,"Oligohydramnios, third trimester, fetus 3"
O41.03X4,"Oligohydramnios, third trimester, fetus 4"
O41.03X5,"Oligohydramnios, third trimester, fetus 5"
O41.03X9,"Oligohydramnios, third trimester, other fetus"
O41.1010,"Infection of amniotic sac and membranes, unspecified, first trimester, not applicable or unspecified"
O41.1011,"Infection of amniotic sac and membranes, unspecified, first trimester, fetus 1"
O41.1012,"Infection of amniotic sac and membranes, unspecified, first trimester, fetus 2"
O41.1013,"Infection of amniotic sac and membranes, unspecified, first trimester, fetus 3"
O41.1014,"Infection of amniotic sac and membranes, unspecified, first trimester, fetus 4"
O41.1015,"Infection of amniotic sac and membranes, unspecified, first trimester, fetus 5"
O41.1019,"Infection of amniotic sac and membranes, unspecified, first trimester, other fetus"
O41.1020,"Infection of amniotic sac and membranes, unspecified, second trimester, not applicable or unspecified"
O41.1021,"Infection of amniotic sac and membranes, unspecified, second trimester, fetus 1"
O41.1022,"Infection of amniotic sac and membranes, unspecified, second trimester, fetus 2"
O41.1023,"Infection of amniotic sac and membranes, unspecified, second trimester, fetus 3"
O41.1024,"Infection of amniotic sac and membranes, unspecified, second trimester, fetus 4"
O41.1025,"Infection of amniotic sac and membranes, unspecified, second trimester, fetus 5"
O41.1029,"Infection of amniotic sac and membranes, unspecified, second trimester, other fetus"
O41.1030,"Infection of amniotic sac and membranes, unspecified, third trimester, not applicable or unspecified"
O41.1031,"Infection of amniotic sac and membranes, unspecified, third trimester, fetus 1"
O41.1032,"Infection of amniotic sac and membranes, unspecified, third trimester, fetus 2"
O41.1033,"Infection of amniotic sac and membranes, unspecified, third trimester, fetus 3"
O41.1034,"Infection of amniotic sac and membranes, unspecified, third trimester, fetus 4"
O41.1035,"Infection of amniotic sac and membranes, unspecified, third trimester, fetus 5"
O41.1039,"Infection of amniotic sac and membranes, unspecified, third trimester, other fetus"
O41.1090,"Infection of amniotic sac and membranes, unspecified, unspecified trimester, not applicable or unspecified"
O41.1091,"Infection of amniotic sac and membranes, unspecified, unspecified trimester, fetus 1"
O41.1092,"Infection of amniotic sac and membranes, unspecified, unspecified trimester, fetus 2"
O41.1093,"Infection of amniotic sac and membranes, unspecified, unspecified trimester, fetus 3"
O41.1094,"Infection of amniotic sac and membranes, unspecified, unspecified trimester, fetus 4"
O41.1095,"Infection of amniotic sac and membranes, unspecified, unspecified trimester, fetus 5"
O41.1099,"Infection of amniotic sac and membranes, unspecified, unspecified trimester, other fetus"
O41.1210,"Chorioamnionitis, first trimester, not applicable or unspecified"
O41.1211,"Chorioamnionitis, first trimester, fetus 1"
O41.1212,"Chorioamnionitis, first trimester, fetus 2"
O41.1213,"Chorioamnionitis, first trimester, fetus 3"
O41.1214,"Chorioamnionitis, first trimester, fetus 4"
O41.1215,"Chorioamnionitis, first trimester, fetus 5"
O41.1219,"Chorioamnionitis, first trimester, other fetus"
O41.1220,"Chorioamnionitis, second trimester, not applicable or unspecified"
O41.1221,"Chorioamnionitis, second trimester, fetus 1"
O41.1222,"Chorioamnionitis, second trimester, fetus 2"
O41.1223,"Chorioamnionitis, second trimester, fetus 3"
O41.1224,"Chorioamnionitis, second trimester, fetus 4"
O41.1225,"Chorioamnionitis, second trimester, fetus 5"
O41.1229,"Chorioamnionitis, second trimester, other fetus"
O41.1230,"Chorioamnionitis, third trimester, not applicable or unspecified"
O41.1231,"Chorioamnionitis, third trimester, fetus 1"
O41.1232,"Chorioamnionitis, third trimester, fetus 2"
O41.1233,"Chorioamnionitis, third trimester, fetus 3"
O41.1234,"Chorioamnionitis, third trimester, fetus 4"
O41.1235,"Chorioamnionitis, third trimester, fetus 5"
O41.1239,"Chorioamnionitis, third trimester, other fetus"
O41.1290,"Chorioamnionitis, unspecified trimester, not applicable or unspecified"
O41.1291,"Chorioamnionitis, unspecified trimester, fetus 1"
O41.1292,"Chorioamnionitis, unspecified trimester, fetus 2"
O41.1293,"Chorioamnionitis, unspecified trimester, fetus 3"
O41.1294,"Chorioamnionitis, unspecified trimester, fetus 4"
O41.1295,"Chorioamnionitis, unspecified trimester, fetus 5"
O41.1299,"Chorioamnionitis, unspecified trimester, other fetus"
O41.1410,"Placentitis, first trimester, not applicable or unspecified"
O41.1411,"Placentitis, first trimester, fetus 1"
O41.1412,"Placentitis, first trimester, fetus 2"
O41.1413,"Placentitis, first trimester, fetus 3"
O41.1414,"Placentitis, first trimester, fetus 4"
O41.1415,"Placentitis, first trimester, fetus 5"
O41.1419,"Placentitis, first trimester, other fetus"
O41.1420,"Placentitis, second trimester, not applicable or unspecified"
O41.1421,"Placentitis, second trimester, fetus 1"
O41.1422,"Placentitis, second trimester, fetus 2"
O41.1423,"Placentitis, second trimester, fetus 3"
O41.1424,"Placentitis, second trimester, fetus 4"
O41.1425,"Placentitis, second trimester, fetus 5"
O41.1429,"Placentitis, second trimester, other fetus"
O41.1430,"Placentitis, third trimester, not applicable or unspecified"
O41.1431,"Placentitis, third trimester, fetus 1"
O41.1432,"Placentitis, third trimester, fetus 2"
O41.1433,"Placentitis, third trimester, fetus 3"
O41.1434,"Placentitis, third trimester, fetus 4"
O41.1435,"Placentitis, third trimester, fetus 5"
O41.1439,"Placentitis, third trimester, other fetus"
O41.1490,"Placentitis, unspecified trimester, not applicable or unspecified"
O41.1491,"Placentitis, unspecified trimester, fetus 1"
O41.1492,"Placentitis, unspecified trimester, fetus 2"
O41.1493,"Placentitis, unspecified trimester, fetus 3"
O41.1494,"Placentitis, unspecified trimester, fetus 4"
O41.1495,"Placentitis, unspecified trimester, fetus 5"
O41.1499,"Placentitis, unspecified trimester, other fetus"
O41.8X10,"Other specified disorders of amniotic fluid and membranes, first trimester, not applicable or unspecified"
O41.8X11,"Other specified disorders of amniotic fluid and membranes, first trimester, fetus 1"
O41.8X12,"Other specified disorders of amniotic fluid and membranes, first trimester, fetus 2"
